NC_007797.1	1	1379	+	chromosomal replication initiator protein DnaA	WP_011450597.1	202	FF8AD8	DnaA
NC_007797.1	263298	266873	-	hypothetical protein	WP_011450826.1	-1	f3f3f3	-1
NC_007797.1	267650	269911	+	hypothetical protein	WP_011450828.1	-1	f3f3f3	-1
NC_007797.1	270773	271678	-	hypothetical protein	WP_011450830.1	-1	f3f3f3	-1
NC_007797.1	273522	274245	-	DNA polymerase III subunit epsilon	WP_011450831.1	558	f3f3f3	-1
NC_007797.1	274246	274757	-	NADH-quinone oxidoreductase subunit NuoE	WP_011450832.1	510	f3f3f3	-1
NC_007797.1	274758	275945	-	NADH-quinone oxidoreductase subunit D	WP_011450833.1	589	f3f3f3	-1
NC_007797.1	276503	277519	+	NAD(P)/FAD-dependent oxidoreductase	WP_011450835.1	684	f3f3f3	-1
NC_007797.1	278324	279280	+	thiamine-phosphate kinase	WP_011450836.1	747	f3f3f3	-1
NC_007797.1	279617	280354	+	DNA repair protein RecO	WP_011450837.1	720	f3f3f3	-1
NC_007797.1	280427	281032	+	hypothetical protein	WP_020848959.1	-1	f3f3f3	-1
NC_007797.1	282450	282791	-	hypothetical protein	WP_020848960.1	-1	f3f3f3	-1
NC_007797.1	282993	286691	-	T4SS effector DNA-binding phosphoprotein AnkA	WP_011450840.1	2	f3f3f3	-1
NC_007797.1	287912	288136	-	hypothetical protein	WP_011450843.1	-1	f3f3f3	-1
NC_007797.1	288603	289485	-	UDP-N-acetylmuramate dehydrogenase	WP_011450845.1	344	f3f3f3	-1
NC_007797.1	289486	290388	-	hydroxymethylbilane synthase	WP_021799056.1	157	f3f3f3	-1
NC_007797.1	290597	291886	-	bifunctional folylpolyglutamate synthase/dihydrofolate synthase	WP_011450847.1	522	f3f3f3	-1
NC_007797.1	292511	293986	+	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	WP_011450848.1	600	f3f3f3	-1
NC_007797.1	294752	295321	-	UbiX family flavin prenyltransferase	WP_011450849.1	449	f3f3f3	-1
NC_007797.1	295476	295670	+	hypothetical protein	WP_020848961.1	-1	f3f3f3	-1
NC_007797.1	297013	298566	-	YifB family Mg chelatase-like AAA ATPase	WP_011450854.1	526	f3f3f3	-1
NC_007797.1	298753	299430	+	hypothetical protein	WP_011450855.1	-1	f3f3f3	-1
NC_007797.1	299873	301888	+	hypothetical protein	WP_020848963.1	-1	f3f3f3	-1
NC_007797.1	303937	304806	-	sigma-70 family RNA polymerase sigma factor	WP_011450859.1	347	f3f3f3	-1
NC_007797.1	305350	306771	-	phage terminase large subunit	WP_020848964.1	-1	f3f3f3	-1
NC_007797.1	309201	310997	-	elongation factor 4	WP_011450865.1	190	f3f3f3	-1
NC_007797.1	311213	311998	-	methyltransferase domain-containing protein	WP_011450866.1	67	73FDFF	BioC
NC_007797.1	312004	314520	-	polyribonucleotide nucleotidyltransferase	WP_011450867.1	252	f3f3f3	-1
NC_007797.1	314576	314857	-	30S ribosomal protein S15	WP_011450868.1	386	f3f3f3	-1
NC_007797.1	314892	315794	-	tRNA pseudouridine(55) synthase TruB	WP_011450869.1	170	f3f3f3	-1
NC_007797.1	315977	317086	+	rod shape-determining protein	WP_020848967.1	274	f3f3f3	-1
NC_007797.1	317681	318139	-	hypothetical protein	WP_011450871.1	66	f3f3f3	-1
NC_007797.1	318237	318746	-	hypothetical protein	WP_011450756.1	66	f3f3f3	-1
NC_007797.1	319083	319556	-	hypothetical protein	WP_011450873.1	714	f3f3f3	-1
NC_007797.1	320972	321202	+	hypothetical protein	WP_011450875.1	-1	f3f3f3	-1
NC_007797.1	321474	322148	-	dephospho-CoA kinase	WP_011450876.1	695	f3f3f3	-1
NC_007797.1	322673	323262	+	threonylcarbamoyl-AMP synthase	WP_011450878.1	121	f3f3f3	-1
NC_007797.1	323263	324141	+	hypothetical protein	WP_011450879.1	728	f3f3f3	-1
NC_007797.1	324334	324609	+	HU family DNA-binding protein	WP_011450880.1	14	f3f3f3	-1
NC_007797.1	327885	328586	-	pyridoxine 5'-phosphate synthase	WP_011450886.1	674	f3f3f3	-1
NC_007797.1	328815	329369	-	adenylyltransferase/cytidyltransferase family protein	WP_080502903.1	742	f3f3f3	-1
NC_007797.1	329551	330585	+	hypothetical protein	WP_011450888.1	-1	f3f3f3	-1
NC_007797.1	332317	335055	-	hypothetical protein	WP_011450889.1	-1	f3f3f3	-1
NC_007797.1	336425	337144	-	16S rRNA (uracil(1498)-N(3))-methyltransferase	WP_011450890.1	355	f3f3f3	-1
NC_007797.1	337172	337636	-	peroxiredoxin	WP_011450891.1	472	f3f3f3	-1
NC_007797.1	338105	341395	+	isoleucine--tRNA ligase	WP_011450892.1	322	f3f3f3	-1
NC_007797.1	342331	342564	-	hypothetical protein	WP_020848970.1	-1	f3f3f3	-1
NC_007797.1	343025	343519	-	NADH-quinone oxidoreductase subunit NuoI	WP_011450897.1	508	f3f3f3	-1
NC_007797.1	343521	344252	-	signal peptidase I	WP_011450898.1	394	f3f3f3	-1
NC_007797.1	344275	344721	-	iron-sulfur cluster assembly accessory protein	WP_011450899.1	460	f3f3f3	-1
NC_007797.1	346617	349157	+	hypothetical protein	WP_011450901.1	-1	f3f3f3	-1
NC_007797.1	349433	351217	+	hypothetical protein	WP_011450903.1	-1	f3f3f3	-1
NC_007797.1	352329	354866	+	hypothetical protein	WP_011450904.1	-1	f3f3f3	-1
NC_007797.1	356092	358407	+	hypothetical protein	WP_011450907.1	-1	f3f3f3	-1
NC_007797.1	360107	361807	+	hypothetical protein	WP_011450908.1	1004	f3f3f3	-1
NC_007797.1	361898	362494	+	hypothetical protein	WP_020848972.1	95	f3f3f3	-1
NC_007797.1	362499	362999	+	GTP cyclohydrolase	WP_011450910.1	733	f3f3f3	-1
NC_007797.1	363399	365327	+	hypothetical protein	WP_011450911.1	1004	f3f3f3	-1
NC_007797.1	365714	365899	-	hypothetical protein	WP_020848973.1	-1	f3f3f3	-1
NC_007797.1	366233	366511	-	hypothetical protein	WP_020848974.1	-1	f3f3f3	-1
NC_007797.1	366697	368109	+	hypothetical protein	WP_011450915.1	-1	f3f3f3	-1
NC_007797.1	368315	369955	+	hypothetical protein	WP_011450916.1	-1	f3f3f3	-1
NC_007797.1	370195	370413	-	hypothetical protein	WP_020849354.1	-1	f3f3f3	-1
NC_007797.1	370683	371705	-	hypothetical protein	WP_020848975.1	192	f3f3f3	-1
NC_007797.1	371926	372489	-	hypothetical protein	WP_011450920.1	192	f3f3f3	-1
NC_007797.1	372817	373821	-	hypothetical protein	WP_011450921.1	192	f3f3f3	-1
NC_007797.1	373877	374944	-	hypothetical protein	WP_020848976.1	192	f3f3f3	-1
NC_007797.1	375229	375627	+	hypothetical protein	WP_011450923.1	192	f3f3f3	-1
NC_007797.1	376880	378250	+	hypothetical protein	WP_011450925.1	-1	f3f3f3	-1
NC_007797.1	379011	379223	-	hypothetical protein	WP_080502904.1	-1	f3f3f3	-1
NC_007797.1	379480	380928	+	hypothetical protein	WP_020848977.1	66	f3f3f3	-1
NC_007797.1	381211	381555	+	hypothetical protein	WP_011450929.1	66	f3f3f3	-1
NC_007797.1	381555	382064	+	hypothetical protein	WP_011450756.1	66	f3f3f3	-1
NC_007797.1	382162	382620	+	hypothetical protein	WP_011450871.1	66	f3f3f3	-1
NC_007797.1	383839	384321	+	hypothetical protein	WP_080502937.1	66	f3f3f3	-1
NC_007797.1	385389	386681	+	hypothetical protein	WP_020848979.1	172	f3f3f3	-1
NC_007797.1	387472	388800	+	hypothetical protein	WP_011450932.1	172	f3f3f3	-1
NC_007797.1	389634	390989	+	hypothetical protein	WP_020848980.1	172	f3f3f3	-1
NC_007797.1	391269	392627	+	hypothetical protein	WP_020848981.1	172	f3f3f3	-1
NC_007797.1	395222	396751	+	hypothetical protein	WP_011450940.1	-1	f3f3f3	-1
NC_007797.1	396987	398264	-	MFS transporter	WP_011450941.1	-1	f3f3f3	-1
NC_007797.1	398434	401322	-	hypothetical protein	WP_020848984.1	539	f3f3f3	-1
NC_007797.1	401765	402757	+	porphobilinogen synthase	WP_011450944.1	237	f3f3f3	-1
NC_007797.1	403297	404519	+	NAD(+) synthase	WP_080502938.1	665	f3f3f3	-1
NC_007797.1	404520	404837	-	hypothetical protein	WP_020848985.1	-1	f3f3f3	-1
NC_007797.1	407982	410444	-	DNA mismatch repair protein MutS	WP_011450950.1	371	f3f3f3	-1
NC_007797.1	410612	411742	+	type IV secretion system effector Ats1	WP_020848986.1	-1	f3f3f3	-1
NC_007797.1	411744	412118	+	histidine triad nucleotide-binding protein	WP_011450953.1	206	f3f3f3	-1
NC_007797.1	413111	414442	+	phage major capsid protein	WP_011450954.1	-1	f3f3f3	-1
NC_007797.1	415825	418542	-	2-oxoglutarate dehydrogenase E1 component	WP_011450956.1	515	f3f3f3	-1
NC_007797.1	419723	421021	+	adenylosuccinate lyase	WP_011450959.1	782	f3f3f3	-1
NC_007797.1	421352	421564	-	hypothetical protein	WP_011450960.1	455	f3f3f3	-1
NC_007797.1	421988	422236	-	hypothetical protein	WP_011450962.1	455	f3f3f3	-1
NC_007797.1	422877	426020	-	hypothetical protein	WP_011450965.1	455	f3f3f3	-1
NC_007797.1	428206	428931	-	biotin--[acetyl-CoA-carboxylase] ligase	WP_011450966.1	359	f3f3f3	-1
NC_007797.1	429027	429242	-	hypothetical protein	WP_020849368.1	-1	f3f3f3	-1
NC_007797.1	430928	432247	+	hypothetical protein	WP_020849611.1	-1	f3f3f3	-1
NC_007797.1	433053	433361	-	hypothetical protein	WP_020848991.1	-1	f3f3f3	-1
NC_007797.1	433365	433616	+	hypothetical protein	WP_011450969.1	172	f3f3f3	-1
NC_007797.1	433801	435135	-	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	WP_011450970.1	328	f3f3f3	-1
NC_007797.1	437456	437692	+	hypothetical protein	WP_020848993.1	-1	f3f3f3	-1
NC_007797.1	438012	439856	+	excinuclease ABC subunit UvrC	WP_011450974.1	267	f3f3f3	-1
NC_007797.1	446728	448641	-	molecular chaperone HtpG	WP_011450982.1	588	f3f3f3	-1
NC_007797.1	448728	449336	-	hypothetical protein	WP_011450983.1	683	f3f3f3	-1
NC_007797.1	450590	450856	-	hypothetical protein	WP_044108163.1	-1	f3f3f3	-1
NC_007797.1	451006	451635	-	endonuclease III	WP_011450986.1	313	f3f3f3	-1
NC_007797.1	452518	455238	-	DNA gyrase subunit A	WP_011450988.1	249	f3f3f3	-1
NC_007797.1	455541	456263	+	hypothetical protein	WP_020848996.1	0	f3f3f3	-1
NC_007797.1	456751	457299	+	hypothetical protein	WP_020848997.1	0	f3f3f3	-1
NC_007797.1	457511	459490	+	AAA family ATPase	WP_011450990.1	381	f3f3f3	-1
NC_007797.1	460189	461721	+	hypothetical protein	WP_020848998.1	964	f3f3f3	-1
NC_007797.1	463699	468174	+	hypothetical protein	WP_020848999.1	-1	f3f3f3	-1
NC_007797.1	468439	468762	-	hypothetical protein	WP_011450994.1	683	f3f3f3	-1
NC_007797.1	469115	470137	+	hypothetical protein	WP_020849000.1	-1	f3f3f3	-1
NC_007797.1	470536	471681	+	tRNA 2-thiouridine(34) synthase MnmA	WP_080502939.1	155	f3f3f3	-1
