NZ_AP013028.1	1	1382	+	chromosomal replication initiator protein DnaA	WP_041044912.1	202	FF8AD8	DnaA
NZ_AP013028.1	68948	69196	-	MFS transporter	WP_052463165.1	-1	f3f3f3	-1
NZ_AP013028.1	72180	73694	+	protein translocase subunit SecD	WP_041044998.1	376	f3f3f3	-1
NZ_AP013028.1	73754	74938	+	dicarboxylate/amino acid:cation symporter	WP_041045000.1	98	f3f3f3	-1
NZ_AP013028.1	74945	75547	+	orotate phosphoribosyltransferase	WP_041045002.1	503	f3f3f3	-1
NZ_AP013028.1	76137	77075	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041045004.1	17	f3f3f3	-1
NZ_AP013028.1	78327	80387	-	hypothetical protein	WP_145971827.1	-1	f3f3f3	-1
NZ_AP013028.1	80447	81811	-	hypothetical protein	WP_052463168.1	-1	f3f3f3	-1
NZ_AP013028.1	82044	82829	+	P-type conjugative transfer protein VirB9	WP_041045008.1	725	f3f3f3	-1
NZ_AP013028.1	83393	84040	+	transcriptional regulator	WP_041045010.1	699	f3f3f3	-1
NZ_AP013028.1	84053	84640	-	RlmE family RNA methyltransferase	WP_041045012.1	111	f3f3f3	-1
NZ_AP013028.1	84714	85298	-	DUF2497 domain-containing protein	WP_041045015.1	1570	f3f3f3	-1
NZ_AP013028.1	85318	86571	-	membrane protein	WP_041045017.1	528	f3f3f3	-1
NZ_AP013028.1	86704	87162	+	50S ribosomal protein L13	WP_041046519.1	320	f3f3f3	-1
NZ_AP013028.1	87173	87619	+	30S ribosomal protein S9	WP_041045019.1	360	f3f3f3	-1
NZ_AP013028.1	87768	88071	+	HU family DNA-binding protein	WP_041045022.1	14	f3f3f3	-1
NZ_AP013028.1	88072	88779	-	pyridoxine 5'-phosphate synthase	WP_041045024.1	674	f3f3f3	-1
NZ_AP013028.1	90510	90803	+	hypothetical protein	WP_145971828.1	-1	f3f3f3	-1
NZ_AP013028.1	90819	91013	+	hypothetical protein	WP_041045028.1	-1	f3f3f3	-1
NZ_AP013028.1	91107	91307	+	hypothetical protein	WP_041045030.1	-1	f3f3f3	-1
NZ_AP013028.1	91710	92759	+	Fic family protein	WP_041045032.1	1577	f3f3f3	-1
NZ_AP013028.1	92854	93638	+	4-hydroxy-tetrahydrodipicolinate reductase	WP_041045034.1	630	f3f3f3	-1
NZ_AP013028.1	93639	94393	+	phosphate ABC transporter ATP-binding protein	WP_041045036.1	53	f3f3f3	-1
NZ_AP013028.1	94394	95572	-	1-deoxy-D-xylulose-5-phosphate reductoisomerase	WP_041045038.1	583	f3f3f3	-1
NZ_AP013028.1	95632	96135	-	hypothetical protein	WP_041045040.1	-1	f3f3f3	-1
NZ_AP013028.1	96246	96677	-	protoporphyrinogen oxidase HemJ	WP_041045043.1	737	f3f3f3	-1
NZ_AP013028.1	96732	97715	+	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	WP_041046521.1	776	f3f3f3	-1
NZ_AP013028.1	98558	99985	-	metalloprotease TldD	WP_041045045.1	664	f3f3f3	-1
NZ_AP013028.1	100197	100682	+	hypothetical protein	WP_041045047.1	-1	f3f3f3	-1
NZ_AP013028.1	100920	101165	+	hypothetical protein	WP_041045049.1	-1	f3f3f3	-1
NZ_AP013028.1	101995	103485	-	ATP-dependent protease ATPase subunit HslU	WP_041045051.1	395	f3f3f3	-1
NZ_AP013028.1	103487	104041	-	ATP-dependent protease subunit HslV	WP_041045053.1	384	f3f3f3	-1
NZ_AP013028.1	104157	105317	+	glutamate--cysteine ligase	WP_041045055.1	1016	f3f3f3	-1
NZ_AP013028.1	107603	108616	-	ferrochelatase	WP_041045057.1	478	f3f3f3	-1
NZ_AP013028.1	109972	110397	+	nucleoside-diphosphate kinase	WP_041045059.1	356	f3f3f3	-1
NZ_AP013028.1	110431	111309	-	zinc ABC transporter solute-binding protein	WP_041045061.1	581	f3f3f3	-1
NZ_AP013028.1	111310	112046	+	metal ABC transporter ATP-binding protein	WP_041045063.1	565	f3f3f3	-1
NZ_AP013028.1	112047	113477	+	2-polyprenylphenol 6-hydroxylase	WP_041045065.1	484	f3f3f3	-1
NZ_AP013028.1	113710	114939	+	cytochrome b/b6	WP_041045067.1	754	f3f3f3	-1
NZ_AP013028.1	115131	115862	+	cytochrome c1	WP_041046525.1	723	f3f3f3	-1
NZ_AP013028.1	115941	117890	+	excinuclease ABC subunit UvrB	WP_041045069.1	211	f3f3f3	-1
NZ_AP013028.1	118455	119660	-	succinyl-diaminopimelate desuccinylase	WP_041045071.1	831	f3f3f3	-1
NZ_AP013028.1	119703	121061	+	iron-containing alcohol dehydrogenase	WP_041045073.1	1009	f3f3f3	-1
NZ_AP013028.1	121085	121867	-	hypothetical protein	WP_041045075.1	-1	f3f3f3	-1
NZ_AP013028.1	121967	123031	-	DNA-protecting protein DprA	WP_041045077.1	388	f3f3f3	-1
NZ_AP013028.1	123093	123467	+	ferredoxin family protein	WP_041045079.1	709	f3f3f3	-1
NZ_AP013028.1	123698	124625	+	D-alanine--D-alanine ligase	WP_084221165.1	429	f3f3f3	-1
NZ_AP013028.1	124626	125384	+	FtsQ-type POTRA domain-containing protein	WP_041045083.1	716	f3f3f3	-1
NZ_AP013028.1	128590	129213	+	M23 family metallopeptidase	WP_041045087.1	77	f3f3f3	-1
NZ_AP013028.1	129226	131769	+	leucine--tRNA ligase	WP_041045089.1	339	f3f3f3	-1
NZ_AP013028.1	133111	133575	+	hypothetical protein	WP_052463170.1	-1	f3f3f3	-1
NZ_AP013028.1	134497	135180	-	endonuclease III	WP_052463335.1	313	f3f3f3	-1
NZ_AP013028.1	135200	136627	-	isocitrate dehydrogenase	WP_041045091.1	509	f3f3f3	-1
NZ_AP013028.1	136784	137098	+	hypothetical protein	WP_084221203.1	-1	f3f3f3	-1
NZ_AP013028.1	137944	138621	-	MFS transporter	WP_052463173.1	62	f3f3f3	-1
NZ_AP013028.1	138871	139140	+	IS5 family transposase	WP_145971829.1	-1	f3f3f3	-1
NZ_AP013028.1	139928	143068	+	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA	WP_041045095.1	711	f3f3f3	-1
NZ_AP013028.1	143416	143979	+	hypothetical protein	WP_041045098.1	1592	f3f3f3	-1
NZ_AP013028.1	143980	145480	+	hypothetical protein	WP_084221166.1	1592	f3f3f3	-1
NZ_AP013028.1	145481	147286	-	succinate dehydrogenase flavoprotein subunit	WP_041045103.1	73	f3f3f3	-1
NZ_AP013028.1	148104	148400	+	hypothetical protein	WP_041045107.1	713	f3f3f3	-1
NZ_AP013028.1	148408	149001	-	hypothetical protein	WP_041045109.1	998	f3f3f3	-1
NZ_AP013028.1	149085	149420	-	divalent-cation tolerance protein CutA	WP_070104825.1	197	f3f3f3	-1
NZ_AP013028.1	149628	149888	+	IS5 family transposase	WP_145971830.1	-1	f3f3f3	-1
NZ_AP013028.1	150414	151115	-	hypothetical protein	WP_041045111.1	-1	f3f3f3	-1
NZ_AP013028.1	151259	151468	+	hypothetical protein	WP_041045113.1	-1	f3f3f3	-1
NZ_AP013028.1	151543	152577	+	FtsH protease activity modulator HflK	WP_041045115.1	171	f3f3f3	-1
NZ_AP013028.1	152580	153452	+	protease modulator HflC	WP_041045117.1	301	f3f3f3	-1
NZ_AP013028.1	153456	154943	+	DegQ family serine endoprotease	WP_041045119.1	110	f3f3f3	-1
NZ_AP013028.1	155964	156398	+	DUF1016 family protein	WP_041046537.1	-1	f3f3f3	-1
NZ_AP013028.1	157197	157526	-	ankyrin repeat domain-containing protein	WP_041045121.1	-1	f3f3f3	-1
NZ_AP013028.1	157565	157744	-	ankyrin repeat domain-containing protein	WP_084221168.1	2	f3f3f3	-1
NZ_AP013028.1	157790	158029	-	ankyrin repeat domain-containing protein	WP_052463174.1	2	f3f3f3	-1
NZ_AP013028.1	158747	160282	+	methionine--tRNA ligase	WP_041045123.1	295	f3f3f3	-1
NZ_AP013028.1	160295	160759	-	hypothetical protein	WP_041045125.1	1591	f3f3f3	-1
NZ_AP013028.1	160873	162324	-	replicative DNA helicase	WP_041045127.1	123	f3f3f3	-1
NZ_AP013028.1	162542	163150	+	RDD family protein	WP_041046539.1	763	f3f3f3	-1
NZ_AP013028.1	167213	168079	+	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	WP_041045129.1	535	f3f3f3	-1
NZ_AP013028.1	168092	168448	+	hypothetical protein	WP_052463336.1	-1	f3f3f3	-1
NZ_AP013028.1	168450	169259	+	metal ABC transporter permease	WP_041045133.1	490	f3f3f3	-1
NZ_AP013028.1	169319	170317	+	DNA polymerase III subunit delta	WP_041045135.1	764	f3f3f3	-1
NZ_AP013028.1	170672	171133	+	dUTP diphosphatase	WP_041046540.1	396	f3f3f3	-1
NZ_AP013028.1	171243	171875	+	hypothetical protein	WP_041045137.1	-1	f3f3f3	-1
NZ_AP013028.1	172451	173940	+	murein biosynthesis integral membrane protein MurJ	WP_041045139.1	351	f3f3f3	-1
NZ_AP013028.1	173941	176478	+	hypothetical protein	WP_041045141.1	771	f3f3f3	-1
NZ_AP013028.1	177468	177659	-	hypothetical protein	WP_052463175.1	-1	f3f3f3	-1
NZ_AP013028.1	178833	179360	+	phospholipase D family protein	WP_041045143.1	1574	f3f3f3	-1
NZ_AP013028.1	179452	179991	+	hypothetical protein	WP_041045145.1	-1	f3f3f3	-1
NZ_AP013028.1	180110	180868	+	hypothetical protein	WP_041045147.1	1010	f3f3f3	-1
NZ_AP013028.1	180913	181752	+	glycine--tRNA ligase subunit alpha	WP_084221169.1	251	f3f3f3	-1
NZ_AP013028.1	181756	183857	+	glycine--tRNA ligase subunit beta	WP_041045151.1	383	f3f3f3	-1
NZ_AP013028.1	183858	185678	+	excinuclease ABC subunit UvrC	WP_041045154.1	267	f3f3f3	-1
NZ_AP013028.1	185807	186421	-	DUF1016 family protein	WP_052463176.1	1306	f3f3f3	-1
NZ_AP013028.1	187275	187723	-	hypothetical protein	WP_041045156.1	-1	f3f3f3	-1
NZ_AP013028.1	187724	188020	-	hypothetical protein	WP_041045158.1	-1	f3f3f3	-1
NZ_AP013028.1	188149	189192	-	hypothetical protein	WP_145971831.1	-1	f3f3f3	-1
NZ_AP013028.1	190059	190538	-	hypothetical protein	WP_145971832.1	-1	f3f3f3	-1
NZ_AP013028.1	190661	190906	-	hypothetical protein	WP_052463178.1	-1	f3f3f3	-1
NZ_AP013028.1	191166	192167	+	porphobilinogen synthase	WP_041045162.1	237	f3f3f3	-1
NZ_AP013028.1	192230	192490	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	193996	194573	+	NADH-quinone oxidoreductase subunit J	WP_041045164.1	511	f3f3f3	-1
NZ_AP013028.1	194574	194882	+	NADH-quinone oxidoreductase subunit NuoK	WP_041045166.1	590	f3f3f3	-1
NZ_AP013028.1	194887	196743	+	NADH-quinone oxidoreductase subunit L	WP_041045168.1	464	f3f3f3	-1
NZ_AP013028.1	196747	198185	+	NADH-quinone oxidoreductase subunit M	WP_041045170.1	546	f3f3f3	-1
NZ_AP013028.1	198186	199580	+	NADH-quinone oxidoreductase subunit N	WP_041045172.1	506	f3f3f3	-1
NZ_AP013028.1	199582	200373	+	biotin--[acetyl-CoA-carboxylase] ligase	WP_041045174.1	359	f3f3f3	-1
NZ_AP013028.1	200491	200889	+	cytochrome c maturation protein CcmE	WP_041045176.1	404	f3f3f3	-1
NZ_AP013028.1	200898	201600	-	ATP-binding cassette domain-containing protein	WP_041045178.1	52	f3f3f3	-1
NZ_AP013028.1	201601	202383	-	ABC transporter permease	WP_041045181.1	334	f3f3f3	-1
NZ_AP013028.1	202853	203041	-	hypothetical protein	WP_145971833.1	-1	f3f3f3	-1
NZ_AP013028.1	203198	203674	+	recombinase family protein	WP_052463179.1	145	f3f3f3	-1
NZ_AP013028.1	203683	204999	+	hypothetical protein	WP_052463180.1	145	f3f3f3	-1
NZ_AP013028.1	207208	208076	+	hydroxymethylbilane synthase	WP_041045183.1	157	f3f3f3	-1
NZ_AP013028.1	208077	208964	+	UDP-N-acetylmuramate dehydrogenase	WP_041045185.1	344	f3f3f3	-1
NZ_AP013028.1	209249	209875	+	hypothetical protein	WP_041045187.1	983	f3f3f3	-1
NZ_AP013028.1	209892	211166	+	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	WP_041045189.1	486	f3f3f3	-1
NZ_AP013028.1	211855	212577	-	DNA repair protein RecO	WP_041045191.1	720	f3f3f3	-1
NZ_AP013028.1	212843	213217	+	30S ribosomal protein S12	WP_041045193.1	187	f3f3f3	-1
NZ_AP013028.1	213223	213702	+	30S ribosomal protein S7	WP_041045195.1	399	f3f3f3	-1
NZ_AP013028.1	213724	215790	+	elongation factor G	WP_041045197.1	269	f3f3f3	-1
NZ_AP013028.1	215802	216977	+	elongation factor Tu	WP_041045201.1	102	f3f3f3	-1
NZ_AP013028.1	217046	217344	+	30S ribosomal protein S10	WP_052463338.1	321	f3f3f3	-1
NZ_AP013028.1	217345	218070	+	50S ribosomal protein L3	WP_041045203.1	183	f3f3f3	-1
NZ_AP013028.1	218073	218683	+	50S ribosomal protein L4	WP_041045205.1	264	f3f3f3	-1
NZ_AP013028.1	218684	218971	+	50S ribosomal protein L23	WP_041045207.1	393	f3f3f3	-1
NZ_AP013028.1	218973	219797	+	50S ribosomal protein L2	WP_041045209.1	180	f3f3f3	-1
NZ_AP013028.1	219801	220085	+	30S ribosomal protein S19	WP_041045211.1	309	f3f3f3	-1
NZ_AP013028.1	220091	220441	+	50S ribosomal protein L22	WP_041045213.1	243	f3f3f3	-1
NZ_AP013028.1	220480	221100	+	30S ribosomal protein S3	WP_041045215.1	375	f3f3f3	-1
NZ_AP013028.1	221112	221525	+	50S ribosomal protein L16	WP_041045217.1	210	f3f3f3	-1
NZ_AP013028.1	221537	221732	+	50S ribosomal protein L29	WP_041046548.1	338	f3f3f3	-1
NZ_AP013028.1	221733	221966	+	30S ribosomal protein S17	WP_041045219.1	275	f3f3f3	-1
NZ_AP013028.1	221976	222335	+	50S ribosomal protein L14	WP_041045221.1	405	f3f3f3	-1
NZ_AP013028.1	222335	222652	+	50S ribosomal protein L24	WP_041045223.1	156	f3f3f3	-1
NZ_AP013028.1	222659	223192	+	50S ribosomal protein L5	WP_041045225.1	286	f3f3f3	-1
NZ_AP013028.1	223209	223517	+	30S ribosomal protein S14	WP_041045227.1	220	f3f3f3	-1
NZ_AP013028.1	223537	223932	+	30S ribosomal protein S8	WP_041045229.1	350	f3f3f3	-1
NZ_AP013028.1	223949	224494	+	50S ribosomal protein L6	WP_041045231.1	193	f3f3f3	-1
NZ_AP013028.1	224500	224871	+	50S ribosomal protein L18	WP_041045233.1	317	f3f3f3	-1
NZ_AP013028.1	224884	225396	+	30S ribosomal protein S5	WP_041045235.1	259	f3f3f3	-1
NZ_AP013028.1	225400	225870	+	50S ribosomal protein L15	WP_052463181.1	390	f3f3f3	-1
NZ_AP013028.1	225874	227198	+	preprotein translocase subunit SecY	WP_041046552.1	173	f3f3f3	-1
NZ_AP013028.1	227199	227849	+	adenylate kinase	WP_041045236.1	302	f3f3f3	-1
NZ_AP013028.1	227909	228277	+	30S ribosomal protein S13	WP_041045238.1	236	f3f3f3	-1
NZ_AP013028.1	228302	228688	+	30S ribosomal protein S11	WP_041045240.1	369	f3f3f3	-1
NZ_AP013028.1	228710	229777	+	DNA-directed RNA polymerase subunit alpha	WP_041045242.1	311	f3f3f3	-1
NZ_AP013028.1	229785	230213	+	50S ribosomal protein L17	WP_041045244.1	205	f3f3f3	-1
NZ_AP013028.1	230237	230599	+	hypothetical protein	WP_041045246.1	703	f3f3f3	-1
NZ_AP013028.1	231231	232247	+	phosphate ABC transporter substrate-binding protein	WP_041045248.1	1022	f3f3f3	-1
NZ_AP013028.1	234678	234839	+	hypothetical protein	WP_084221171.1	-1	f3f3f3	-1
NZ_AP013028.1	235187	235792	+	transposase	WP_145971834.1	-1	f3f3f3	-1
NZ_AP013028.1	236293	236553	-	IS5 family transposase	WP_145971835.1	-1	f3f3f3	-1
NZ_AP013028.1	237168	237437	-	hypothetical protein	WP_041045254.1	-1	f3f3f3	-1
NZ_AP013028.1	237651	237911	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	238412	238663	-	hypothetical protein	WP_041045256.1	-1	f3f3f3	-1
NZ_AP013028.1	239271	239531	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	239556	240092	-	hypothetical protein	WP_041045257.1	-1	f3f3f3	-1
NZ_AP013028.1	240261	242846	+	DNA polymerase I	WP_041045260.1	291	f3f3f3	-1
NZ_AP013028.1	242882	243976	+	hypothetical protein	WP_145971836.1	-1	f3f3f3	-1
NZ_AP013028.1	246729	248021	+	membrane protein	WP_041045266.1	1026	f3f3f3	-1
NZ_AP013028.1	248798	250036	-	cell division protein FtsA	WP_041045268.1	104	f3f3f3	-1
NZ_AP013028.1	250175	250703	+	peptide deformylase	WP_041045270.1	406	f3f3f3	-1
NZ_AP013028.1	250704	251519	+	uracil-DNA glycosylase	WP_041045272.1	732	f3f3f3	-1
NZ_AP013028.1	251773	253092	-	hypothetical protein	WP_041045274.1	-1	f3f3f3	-1
NZ_AP013028.1	253369	254640	+	MFS transporter	WP_041046556.1	-1	f3f3f3	-1
NZ_AP013028.1	254745	255161	-	nucleoside deaminase	WP_041045276.1	244	f3f3f3	-1
NZ_AP013028.1	255203	256807	-	CTP synthase	WP_041045278.1	392	f3f3f3	-1
NZ_AP013028.1	256807	257127	-	preprotein translocase subunit SecG	WP_041045280.1	977	f3f3f3	-1
NZ_AP013028.1	258295	258555	-	IS5 family transposase	WP_145971837.1	-1	f3f3f3	-1
NZ_AP013028.1	258797	259791	+	pyruvate dehydrogenase complex E1 component subunit beta	WP_041045282.1	410	f3f3f3	-1
NZ_AP013028.1	259792	261162	-	magnesium transporter	WP_041045283.1	571	f3f3f3	-1
NZ_AP013028.1	261317	261391	+	peptide chain release factor 2	WP_145971838.1	-1	f3f3f3	-1
NZ_AP013028.1	262487	263926	+	ankyrin repeat domain-containing protein	WP_052463184.1	2	f3f3f3	-1
NZ_AP013028.1	263972	264310	-	hypothetical protein	WP_145971839.1	-1	f3f3f3	-1
NZ_AP013028.1	264311	264520	+	hypothetical protein	WP_145971840.1	-1	f3f3f3	-1
NZ_AP013028.1	265361	265621	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	266486	267317	+	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	WP_041045285.1	491	f3f3f3	-1
NZ_AP013028.1	267318	267998	+	hypothetical protein	WP_052463185.1	1595	f3f3f3	-1
NZ_AP013028.1	268381	268977	+	ankyrin repeat domain-containing protein	WP_052463186.1	2	f3f3f3	-1
NZ_AP013028.1	269212	269781	+	ankyrin repeat domain-containing protein	WP_041045286.1	2	f3f3f3	-1
NZ_AP013028.1	270412	271365	+	recombinase family protein	WP_052463187.1	145	f3f3f3	-1
NZ_AP013028.1	271513	271893	+	hypothetical protein	WP_145971841.1	-1	f3f3f3	-1
NZ_AP013028.1	272224	272819	+	peroxiredoxin	WP_041045287.1	504	f3f3f3	-1
NZ_AP013028.1	272820	273776	+	thioredoxin-disulfide reductase	WP_041045288.1	324	f3f3f3	-1
NZ_AP013028.1	273859	275080	+	ankyrin repeat domain-containing protein	WP_052463189.1	-1	f3f3f3	-1
NZ_AP013028.1	275081	275996	-	tyrosine-type recombinase/integrase	WP_041045289.1	207	f3f3f3	-1
NZ_AP013028.1	275997	277377	-	dihydrolipoyl dehydrogenase	WP_041045291.1	37	f3f3f3	-1
NZ_AP013028.1	277378	278487	-	PQQ-binding-like beta-propeller repeat protein	WP_041045293.1	456	f3f3f3	-1
NZ_AP013028.1	278568	280946	-	DNA topoisomerase (ATP-hydrolyzing) subunit B	WP_041045294.1	403	f3f3f3	-1
NZ_AP013028.1	281241	281450	-	hypothetical protein	WP_145971842.1	-1	f3f3f3	-1
NZ_AP013028.1	283122	284036	-	hypothetical protein	WP_041045300.1	1597	f3f3f3	-1
NZ_AP013028.1	284201	284497	-	hypothetical protein	WP_041045302.1	-1	f3f3f3	-1
NZ_AP013028.1	286218	286847	-	oxidoreductase NAD-binding domain protein	WP_041046573.1	-1	f3f3f3	-1
NZ_AP013028.1	286964	287806	-	DUF2163 domain-containing protein	WP_041045304.1	976	f3f3f3	-1
NZ_AP013028.1	287979	288092	+	hypothetical protein	WP_145971882.1	-1	f3f3f3	-1
NZ_AP013028.1	292789	293049	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	293575	293847	-	IS5 family transposase	WP_041045306.1	446	f3f3f3	-1
NZ_AP013028.1	294367	295131	+	hypothetical protein	WP_052463193.1	965	f3f3f3	-1
NZ_AP013028.1	295207	296382	+	porin	WP_041045308.1	100	f3f3f3	-1
NZ_AP013028.1	296471	297601	+	cation:dicarboxylase symporter family transporter	WP_041046579.1	116	f3f3f3	-1
NZ_AP013028.1	297601	298209	+	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	WP_041045310.1	364	f3f3f3	-1
NZ_AP013028.1	299094	299747	+	hypothetical protein	WP_041046581.1	616	f3f3f3	-1
NZ_AP013028.1	300262	300522	-	IS5 family transposase	WP_145971835.1	-1	f3f3f3	-1
NZ_AP013028.1	301385	303214	+	translational GTPase TypA	WP_041045312.1	189	f3f3f3	-1
NZ_AP013028.1	303278	304174	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041045314.1	17	f3f3f3	-1
NZ_AP013028.1	304182	305198	+	Mrp/NBP35 family ATP-binding protein	WP_041045316.1	263	f3f3f3	-1
NZ_AP013028.1	305249	306403	+	2-octaprenyl-6-methoxyphenyl hydroxylase	WP_041045318.1	188	f3f3f3	-1
