NC_000913.3	1	1403	-	chromosomal replication initiator protein DnaA	NP_418157.1	202	FF8AD8	DnaA
NC_000913.3	18278	19894	-	carbohydrate-specific outer membrane porin, cryptic	NP_418176.1	1208	f3f3f3	-1
NC_000913.3	19963	21375	-	6-phospho-beta-glucosidase B	NP_418177.1	897	f3f3f3	-1
NC_000913.3	21394	23271	-	beta-glucoside specific PTS enzyme II/BglG kinase/BglG phosphatase	NP_418178.1	30	f3f3f3	-1
NC_000913.3	23405	24241	-	transcriptional antiterminator BglG	NP_418179.1	-1	f3f3f3	-1
NC_000913.3	24527	25252	-	negative regulator of the pho regulon	NP_418180.1	-1	f3f3f3	-1
NC_000913.3	25267	26040	-	phosphate ABC transporter ATP binding subunit	NP_418181.1	53	f3f3f3	-1
NC_000913.3	26223	27113	-	phosphate ABC transporter membrane subunit PstA	NP_418182.1	453	f3f3f3	-1
NC_000913.3	27113	28072	-	phosphate ABC transporter membrane subunit PstC	NP_418183.1	531	f3f3f3	-1
NC_000913.3	28159	29199	-	phosphate ABC transporter periplasmic binding protein	NP_418184.1	-1	f3f3f3	-1
NC_000913.3	29513	31342	-	L-glutamine--D-fructose-6-phosphate aminotransferase	NP_418185.1	923	f3f3f3	-1
NC_000913.3	31504	32874	-	fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	NP_418186.1	648	f3f3f3	-1
NC_000913.3	33227	33646	-	ATP synthase F1 complex subunit epsilon	NP_418187.1	223	f3f3f3	-1
NC_000913.3	33667	35049	-	ATP synthase F1 complex subunit beta	NP_418188.1	345	f3f3f3	-1
NC_000913.3	35076	35939	-	ATP synthase F1 complex subunit gamma	NP_418189.1	95	f3f3f3	-1
NC_000913.3	35990	37531	-	ATP synthase F1 complex subunit alpha	NP_418190.1	203	f3f3f3	-1
NC_000913.3	37544	38077	-	ATP synthase F1 complex subunit delta	NP_418191.1	199	f3f3f3	-1
NC_000913.3	38092	38562	-	ATP synthase Fo complex subunit b	NP_418192.1	-1	f3f3f3	-1
NC_000913.3	38624	38863	-	ATP synthase Fo complex subunit c	NP_418193.1	-1	f3f3f3	-1
NC_000913.3	38910	39725	-	ATP synthase Fo complex subunit a	NP_418194.1	412	f3f3f3	-1
NC_000913.3	39734	40114	-	ATP synthase accessory factor	NP_418195.2	-1	f3f3f3	-1
NC_000913.3	40731	41354	-	16S rRNA m(7)G527 methyltransferase	NP_418196.1	796	f3f3f3	-1
NC_000913.3	41418	43307	-	5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG	NP_418197.1	314	f3f3f3	-1
NC_000913.3	43686	44129	-	flavoprotein MioC	NP_418198.1	879	f3f3f3	-1
NC_000913.3	44219	44677	-	DNA-binding transcriptional dual regulator AsnC	NP_418199.1	903	f3f3f3	-1
NC_000913.3	44829	45821	+	asparagine synthetase A	NP_418200.1	-1	f3f3f3	-1
NC_000913.3	45826	47270	-	protein ViaA	YP_026243.1	-1	f3f3f3	-1
NC_000913.3	47271	48767	-	regulatory ATPase RavA	NP_418202.4	-1	f3f3f3	-1
NC_000913.3	48990	50858	+	K(+):H(+) symporter Kup	YP_026244.1	-1	f3f3f3	-1
NC_000913.3	51025	51444	+	D-ribose pyranase	NP_418204.2	-1	f3f3f3	-1
NC_000913.3	51452	52957	+	ribose ABC transporter ATP binding subunit	NP_418205.1	60	f3f3f3	-1
NC_000913.3	52962	53927	+	ribose ABC transporter membrane subunit	NP_418206.1	33	f3f3f3	-1
NC_000913.3	53952	54842	+	ribose ABC transporter periplasmic binding protein	NP_418207.1	4	f3f3f3	-1
NC_000913.3	54968	55897	+	ribokinase	NP_418208.1	34	f3f3f3	-1
NC_000913.3	55901	56858	+	DNA-binding transcriptional dual regulator RbsR	NP_418209.1	4	f3f3f3	-1
NC_000913.3	56859	58286	-	putative transporter HsrA	NP_418210.1	13	f3f3f3	-1
NC_000913.3	58309	59001	-	putative transcriptional regulator YieP	YP_026245.1	7	f3f3f3	-1
NC_000913.3	64802	65641	-	DNA-binding transcriptional dual regulator HdfR	YP_026246.1	1	f3f3f3	-1
NC_000913.3	65760	66098	+	macrodomain Ori protein	NP_418213.1	-1	f3f3f3	-1
NC_000913.3	66123	67643	-	putative magnesium chelatase YifB	NP_418214.2	526	f3f3f3	-1
NC_000913.3	67996	68094	+	ilvXGMEDA operon leader peptide	NP_418215.1	-1	f3f3f3	-1
NC_000913.3	68181	68231	+	uncharacterized protein IlvX	YP_002791259.1	-1	f3f3f3	-1
NC_000913.3	68234	69874	+	acetolactate synthase II subunit IlvG, N-terminal fragment (pseudogene)	gnl|b4488|CDS4500	-1	f3f3f3	-1
NC_000913.3	69875	70138	+	acetolactate synthase II subunit IlvM	NP_418217.1	-1	f3f3f3	-1
NC_000913.3	70158	71087	+	branched-chain-amino-acid aminotransferase	YP_026247.1	850	f3f3f3	-1
NC_000913.3	71152	73002	+	dihydroxy-acid dehydratase	YP_026248.1	604	f3f3f3	-1
NC_000913.3	73005	74549	+	threonine deaminase	NP_418220.1	910	f3f3f3	-1
NC_000913.3	74601	75494	-	DNA-binding transcriptional dual regulator IlvY	NP_418221.1	1	f3f3f3	-1
NC_000913.3	75644	77119	+	ketol-acid reductoisomerase (NADP(+))	NP_418222.1	-1	f3f3f3	-1
NC_000913.3	77206	77487	-	peptidyl-prolyl cis-trans isomerase C	NP_418223.1	76	f3f3f3	-1
NC_000913.3	77686	78134	-	putative toxin YifN	gnl|b3777|CDS4509	-1	f3f3f3	-1
NC_000913.3	78351	80372	+	ATP-dependent DNA helicase Rep	YP_026251.1	-1	f3f3f3	-1
NC_000913.3	80419	81903	-	guanosine-5'-triphosphate,3'-diphosphate phosphatase	YP_026252.1	819	f3f3f3	-1
NC_000913.3	82039	83304	-	ATP-dependent RNA helicase RhlB	NP_418227.1	-1	f3f3f3	-1
NC_000913.3	83435	83764	+	thioredoxin 1	NP_418228.2	326	f3f3f3	-1
NC_000913.3	83905	84006	+	rho operon leader peptide	YP_009518827.1|gnl|REF_b3782|CDS4515	-1	f3f3f3	-1
NC_000913.3	84091	85350	+	transcription termination factor Rho	NP_418230.1	112	f3f3f3	-1
NC_000913.3	85590	86693	+	UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase	NP_418231.1	-1	f3f3f3	-1
NC_000913.3	86705	87751	+	enterobacterial common antigen polysaccharide co-polymerase	NP_418232.2	872	f3f3f3	-1
NC_000913.3	87807	88933	+	UDP-N-acetylglucosamine 2-epimerase	YP_026253.1	1168	f3f3f3	-1
NC_000913.3	88934	90196	+	UDP-N-acetyl-D-mannosamine dehydrogenase	YP_026254.1	613	f3f3f3	-1
NC_000913.3	90196	91263	+	dTDP-glucose 4,6-dehydratase 2	YP_026255.1	628	f3f3f3	-1
NC_000913.3	91282	92140	+	dTDP-glucose pyrophosphorylase 2	NP_418236.1	891	f3f3f3	-1
NC_000913.3	92141	92815	+	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase	YP_026256.2	-1	f3f3f3	-1
NC_000913.3	92820	93950	+	dTDP-4-dehydro-6-deoxy-D-glucose transaminase	NP_418238.1	-1	f3f3f3	-1
NC_000913.3	93952	95198	+	lipid III flippase	NP_418239.1	-1	f3f3f3	-1
NC_000913.3	95199	96274	+	4-acetamido-4,6-dideoxy-D-galactose transferase	YP_026257.1	-1	f3f3f3	-1
NC_000913.3	96275	97627	+	enterobacterial common antigen polymerase	NP_418241.1	-1	f3f3f3	-1
NC_000913.3	97630	98370	+	UDP-N-acetyl-D-mannosaminuronic acid transferase	NP_418242.1	-1	f3f3f3	-1
NC_000913.3	98561	99946	+	putative transporter YifK	YP_026258.1	40	f3f3f3	-1
NC_000913.3	100632	101867	+	putative anaerobic sulfatase maturation enzyme AslB	YP_026259.1	621	f3f3f3	-1
NC_000913.3	102026	103681	-	arylsulfatase	NP_418245.1	896	f3f3f3	-1
NC_000913.3	104360	105556	-	protein HemY	NP_418246.1	-1	f3f3f3	-1
NC_000913.3	105559	106740	-	PF04375 family protein HemX	NP_418247.1	-1	f3f3f3	-1
NC_000913.3	106762	107498	-	uroporphyrinogen-III synthase	NP_418248.1	-1	f3f3f3	-1
NC_000913.3	107499	108440	-	hydroxymethylbilane synthase	YP_026260.1	157	f3f3f3	-1
NC_000913.3	108827	111373	+	adenylate cyclase	NP_418250.1	-1	f3f3f3	-1
NC_000913.3	111413	111523	-	frataxin CyaY	NP_418251.1	-1	f3f3f3	-1
NC_000913.3	111524	112009	+	protein YzcX	YP_009518828.1|gnl|REF_b3808|CDS4545	-1	f3f3f3	-1
NC_000913.3	112196	112399	+	putative lipoprotein YifL	YP_588473.1	-1	f3f3f3	-1
NC_000913.3	112436	113256	+	diaminopimelate epimerase	NP_418254.2	653	f3f3f3	-1
NC_000913.3	113257	113960	+	conserved protein YigA	NP_418255.1	-1	f3f3f3	-1
NC_000913.3	113961	114857	+	site-specific tyrosine recombinase	NP_418256.1	207	f3f3f3	-1
NC_000913.3	114857	115573	+	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	NP_418257.1	1048	f3f3f3	-1
NC_000913.3	115657	117819	+	ssDNA translocase and dsDNA helicase - DNA helicase II	NP_418258.1	381	f3f3f3	-1
NC_000913.3	117966	118730	-	DUF2233 domain-containing protein YigE	YP_026261.1	-1	f3f3f3	-1
NC_000913.3	119100	120050	+	Ni(2(+))/Co(2(+))/Mg(2(+)) transporter	NP_418260.1	887	f3f3f3	-1
NC_000913.3	120093	120473	-	DUF2628 domain-containing protein YigF	NP_418261.1	-1	f3f3f3	-1
NC_000913.3	120487	120867	-	inner membrane protein	NP_418262.2	-1	f3f3f3	-1
NC_000913.3	120962	121852	-	putative transporter RarD	YP_026262.1	-1	f3f3f3	-1
NC_000913.3	121904	122371	-	putative thioesterase YigI	NP_418264.4	-1	f3f3f3	-1
NC_000913.3	122536	123405	+	outer membrane phospholipase A	NP_418265.1	-1	f3f3f3	-1
NC_000913.3	123538	125367	+	ATP-dependent DNA helicase RecQ	YP_026263.3	-1	f3f3f3	-1
NC_000913.3	125431	126051	+	L-threonine exporter	YP_026264.1	417	f3f3f3	-1
NC_000913.3	126113	126733	-	L-homoserine/L-homoserine lactone/L-threonine exporter	YP_026265.1	417	f3f3f3	-1
NC_000913.3	126844	127866	+	lysophospholipase L2	YP_026266.1	-1	f3f3f3	-1
NC_000913.3	127874	128674	+	phosphosugar phosphatase YigL	YP_026267.1	139	f3f3f3	-1
NC_000913.3	128750	129536	+	biotin transporter	NP_418271.1	-1	f3f3f3	-1
NC_000913.3	129537	130490	-	DNA-binding transcriptional dual regulator MetR	NP_418272.1	1	f3f3f3	-1
NC_000913.3	130727	132988	+	cobalamin-independent homocysteine transmethylase	NP_418273.1	-1	f3f3f3	-1
NC_000913.3	133028	133843	-	putative dienelactone hydrolase	YP_026268.1	-1	f3f3f3	-1
NC_000913.3	134105	134866	+	uridine phosphorylase	NP_418275.1	1173	f3f3f3	-1
NC_000913.3	135007	136434	+	putative recombination limiting protein RmuC	NP_418276.1	593	f3f3f3	-1
NC_000913.3	136529	137284	+	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase	YP_026269.1	168	f3f3f3	-1
NC_000913.3	137298	137899	+	ubiquinone biosynthesis accessory factor UbiJ	NP_418278.1	-1	f3f3f3	-1
NC_000913.3	137900	139540	+	ubiquinone biosynthesis protein UbiB	NP_418279.1	484	f3f3f3	-1
NC_000913.3	139619	139888	+	twin arginine protein translocation system - TatA protein	NP_418280.4	128	f3f3f3	-1
NC_000913.3	139892	140407	+	twin arginine protein translocation system - TatB protein	YP_026270.1	-1	f3f3f3	-1
NC_000913.3	140410	141186	+	twin arginine protein translocation system - TatC protein	NP_418282.1	231	f3f3f3	-1
NC_000913.3	141228	142006	+	3' -> 5' ssDNA/RNA exonuclease TatD	YP_026271.1	-1	f3f3f3	-1
NC_000913.3	142007	142495	-	transcription antiterminator RfaH	NP_418284.1	-1	f3f3f3	-1
NC_000913.3	142662	144155	+	3-octaprenyl-4-hydroxybenzoate decarboxylase	NP_418285.1	540	f3f3f3	-1
NC_000913.3	144201	144902	+	flavin reductase	NP_418286.1	63	f3f3f3	-1
NC_000913.3	145283	146446	-	3-ketoacyl-CoA thiolase	YP_026272.1	419	f3f3f3	-1
NC_000913.3	146456	148645	-	dodecenoyl-CoA delta-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase	NP_418288.1	131	f3f3f3	-1
NC_000913.3	148835	150166	+	Xaa-Pro dipeptidase	NP_418289.1	1191	f3f3f3	-1
NC_000913.3	150166	150780	+	IMPACT family member YigZ	NP_418290.4	1482	f3f3f3	-1
NC_000913.3	150819	152270	+	K(+) transporter TrkH	YP_026273.1	278	f3f3f3	-1
NC_000913.3	152282	152827	+	protoporphyrinogen oxidase	NP_418292.1	-1	f3f3f3	-1
NC_000913.3	158580	159088	-	molybdopterin-guanine dinucleotide biosynthesis adaptor protein	NP_418293.2	-1	f3f3f3	-1
NC_000913.3	159089	159673	-	molybdenum cofactor guanylyltransferase	NP_418294.1	-1	f3f3f3	-1
NC_000913.3	159743	160012	+	conserved protein YihD	NP_418295.1	-1	f3f3f3	-1
NC_000913.3	160089	161075	+	stress response kinase A	NP_418296.1	-1	f3f3f3	-1
NC_000913.3	161092	161718	+	thiol:disulfide oxidoreductase DsbA	NP_418297.1	-1	f3f3f3	-1
NC_000913.3	161873	163303	+	uncharacterized protein YihF	NP_418298.4	1061	f3f3f3	-1
NC_000913.3	163344	164276	-	putative acyltransferase YihG	NP_418299.1	96	f3f3f3	-1
NC_000913.3	164640	167426	+	DNA polymerase I	NP_418300.1	291	f3f3f3	-1
NC_000913.3	167807	168439	-	GTP-binding protein YihA	NP_418301.3	337	f3f3f3	-1
NC_000913.3	169021	169530	+	Der GTPase-activating protein YihI	NP_418302.1	-1	f3f3f3	-1
NC_000913.3	169719	171092	+	coproporphyrinogen III dehydrogenase	NP_418303.2	-1	f3f3f3	-1
NC_000913.3	171321	171431	-	uncharacterized protein YshB	YP_002791260.1	-1	f3f3f3	-1
NC_000913.3	171543	172952	-	DNA-binding transcriptional dual regulator NtrC	NP_418304.1	468	f3f3f3	-1
NC_000913.3	172964	174013	-	sensory histidine kinase NtrB	NP_418305.1	-1	f3f3f3	-1
NC_000913.3	174299	175708	-	glutamine synthetase	NP_418306.1	994	f3f3f3	-1
NC_000913.3	176081	177904	+	ribosome-dependent GTPase, ribosome assembly factor	YP_026274.1	189	f3f3f3	-1
NC_000913.3	178121	178831	+	putative transcriptional regulator YihL	NP_418308.1	7	f3f3f3	-1
NC_000913.3	178839	179819	+	putative TIM barrel domain-containing protein YihM	NP_418309.1	-1	f3f3f3	-1
NC_000913.3	179921	181186	+	putative transporter YihN	NP_418310.1	1237	f3f3f3	-1
NC_000913.3	181277	181969	-	putative outer membrane porin L	NP_418311.1	1041	f3f3f3	-1
NC_000913.3	182037	183440	-	putative sulfoquinovose transporter	YP_026275.1	138	f3f3f3	-1
NC_000913.3	183483	184868	-	putative 2,3-dihydroxypropane-1-sulfonate export protein	NP_418313.4	138	f3f3f3	-1
NC_000913.3	184914	186950	-	sulfoquinovosidase	NP_418314.1	1105	f3f3f3	-1
NC_000913.3	187149	188075	-	putative aldose 1-epimerase YihR	NP_418315.3	1220	f3f3f3	-1
NC_000913.3	188189	189430	-	sulfoquinovose isomerase	NP_418316.4	-1	f3f3f3	-1
NC_000913.3	189447	190325	-	6-deoxy-6-sulfofructose-1-phosphate aldolase	NP_418317.1	-1	f3f3f3	-1
NC_000913.3	190349	191245	-	3-sulfolactaldehyde reductase	NP_418318.1	423	f3f3f3	-1
NC_000913.3	191413	192309	+	6-deoxy-6-sulfofructose kinase	NP_418319.2	34	f3f3f3	-1
NC_000913.3	192343	193128	+	putative DNA-binding transcriptional regulator YihW	NP_418320.2	1052	f3f3f3	-1
NC_000913.3	193227	193819	+	alpha-D-glucose-1-phosphate phosphatase	NP_418321.4	-1	f3f3f3	-1
NC_000913.3	193820	194688	+	putative inner membrane protein	NP_418322.1	-1	f3f3f3	-1
NC_000913.3	194689	195122	+	D-aminoacyl-tRNA deacylase	NP_418323.1	1226	f3f3f3	-1
NC_000913.3	195123	196112	+	putative acetyltransferase YiiD	NP_418324.1	-1	f3f3f3	-1
NC_000913.3	196965	197183	+	putative DNA-binding transcriptional regulator YiiE	NP_418325.4	1155	f3f3f3	-1
NC_000913.3	197425	197643	+	protein YiiF	NP_418326.2	1155	f3f3f3	-1
NC_000913.3	197973	198898	-	formate dehydrogenase formation protein	NP_418327.1	-1	f3f3f3	-1
NC_000913.3	198899	199530	-	formate dehydrogenase O subunit gamma	NP_418328.1	1034	f3f3f3	-1
NC_000913.3	199531	200433	-	formate dehydrogenase O subunit beta	NP_418329.1	54	f3f3f3	-1
NC_000913.3	200446	203496	-	formate dehydrogenase O subunit alpha	NP_418330.1	22	f3f3f3	-1
NC_000913.3	203690	204523	+	sulfurtransferase for molybdenum cofactor sulfuration	NP_418331.1	-1	f3f3f3	-1
NC_000913.3	204676	205731	+	DUF3829 domain-containing lipoprotein YiiG	NP_418332.1	-1	f3f3f3	-1
NC_000913.3	205781	207529	-	putative transcriptional regulator FrvR	NP_418333.1	-1	f3f3f3	-1
NC_000913.3	207529	208588	-	peptidase M42 family protein	NP_418334.1	623	f3f3f3	-1
NC_000913.3	208589	210040	-	putative PTS enzyme IIBC component FrvB	NP_418335.4	42	f3f3f3	-1
NC_000913.3	210051	210497	-	putative PTS enzyme IIA component FrvA	NP_418336.1	42	f3f3f3	-1
NC_000913.3	210798	211112	-	L-rhamnose mutarotase	NP_418337.1	-1	f3f3f3	-1
NC_000913.3	211122	211946	-	rhamnulose-1-phosphate aldolase	NP_418338.1	-1	f3f3f3	-1
NC_000913.3	212397	213652	-	L-rhamnose isomerase	YP_026276.1	-1	f3f3f3	-1
NC_000913.3	213653	215122	-	rhamnulokinase	NP_418340.1	79	f3f3f3	-1
NC_000913.3	215410	216246	+	DNA-binding transcriptional activator RhaS	NP_418341.1	5	f3f3f3	-1
NC_000913.3	216320	217164	+	DNA-binding transcriptional activator RhaR	NP_418342.2	5	f3f3f3	-1
NC_000913.3	217165	218199	-	rhamnose/lyxose:H(+) symporter	NP_418343.1	-1	f3f3f3	-1
NC_000913.3	218484	219104	+	superoxide dismutase (Mn)	NP_418344.3	-1	f3f3f3	-1
NC_000913.3	219364	220347	+	2-dehydro-3-deoxy-D-gluconate:H(+) symporter	NP_418345.2	-1	f3f3f3	-1
NC_000913.3	220496	221170	+	2-amino-6-N-hydroxylaminopurine resistance protein	NP_418346.2	-1	f3f3f3	-1
NC_000913.3	221276	222645	-	sensory histidine kinase CpxA	NP_418347.1	29	f3f3f3	-1
NC_000913.3	222646	223344	-	DNA-binding transcriptional dual regulator CpxR	NP_418348.1	28	f3f3f3	-1
NC_000913.3	223494	223994	+	periplasmic protein CpxP	YP_026277.1	1158	f3f3f3	-1
NC_000913.3	224143	225045	+	Zn(2(+))/Fe(2(+))/Cd(2(+)) exporter	NP_418350.1	1075	f3f3f3	-1
NC_000913.3	225226	226188	+	6-phosphofructokinase I	NP_418351.1	1197	f3f3f3	-1
NC_000913.3	226508	227497	+	sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp	NP_418352.1	1144	f3f3f3	-1
NC_000913.3	227604	228359	+	CDP-diacylglycerol diphosphatase	NP_418353.1	-1	f3f3f3	-1
NC_000913.3	228414	229181	-	triose-phosphate isomerase	NP_418354.1	533	f3f3f3	-1
NC_000913.3	229289	229888	-	DUF1454 domain-containing protein YiiQ	NP_418355.1	-1	f3f3f3	-1
NC_000913.3	229989	230429	+	DUF805 domain-containing protein YiiR	NP_418356.1	832	f3f3f3	-1
NC_000913.3	230641	230940	+	DUF406 domain-containing protein YiiS	NP_418357.1	1229	f3f3f3	-1
NC_000913.3	230967	231395	+	universal stress protein D	NP_418358.1	802	f3f3f3	-1
NC_000913.3	231400	232146	-	flavodoxin/ferredoxin-NADP(+) reductase	NP_418359.1	63	f3f3f3	-1
NC_000913.3	232243	233253	-	fructose-1,6-bisphosphatase 2	NP_418360.1	185	f3f3f3	-1
NC_000913.3	233388	234896	-	glycerol kinase	NP_418361.1	79	f3f3f3	-1
NC_000913.3	234919	235764	-	glycerol facilitator	NP_418362.1	1031	f3f3f3	-1
NC_000913.3	236189	236434	+	cell division factor ZapB	NP_418363.1	-1	f3f3f3	-1
NC_000913.3	236519	237004	-	ribonuclease E inhibitor protein A	NP_418364.1	-1	f3f3f3	-1
NC_000913.3	237097	238023	-	1,4-dihydroxy-2-naphthoate octaprenyltransferase	NP_418365.1	862	f3f3f3	-1
NC_000913.3	238090	239421	-	ATPase component of the HslVU protease	NP_418366.1	395	f3f3f3	-1
NC_000913.3	239431	239961	-	peptidase component of the HslVU protease	NP_418367.1	384	f3f3f3	-1
NC_000913.3	240054	241013	-	cell division protein FtsN	NP_418368.1	-1	f3f3f3	-1
NC_000913.3	241105	242130	-	DNA-binding transcriptional repressor CytR	NP_418369.1	4	f3f3f3	-1
NC_000913.3	242286	244484	-	primosome factor N'	NP_418370.1	299	f3f3f3	-1
NC_000913.3	244687	244899	+	50S ribosomal subunit protein L31	NP_418371.1	1178	f3f3f3	-1
NC_000913.3	244960	245568	-	putative lipid binding hydrolase	NP_418372.1	1118	f3f3f3	-1
NC_000913.3	245752	246069	-	DNA-binding transcriptional repressor MetJ	NP_418373.1	-1	f3f3f3	-1
NC_000913.3	246346	247506	+	O-succinylhomoserine(thiol)-lyase/O-succinylhomoserine lyase	NP_418374.1	-1	f3f3f3	-1
NC_000913.3	247509	249941	+	fused aspartate kinase/homoserine dehydrogenase 2	NP_418375.1	129	f3f3f3	-1
NC_000913.3	250290	251180	+	5,10-methylenetetrahydrofolate reductase	NP_418376.1	-1	f3f3f3	-1
NC_000913.3	251509	253689	+	hydroperoxidase I	NP_418377.1	-1	f3f3f3	-1
NC_000913.3	253782	254687	+	cystine exporter	NP_418378.4	415	f3f3f3	-1
NC_000913.3	254714	255331	-	conserved protein YijF	NP_418379.1	-1	f3f3f3	-1
NC_000913.3	255606	256709	-	L-1,2-propanediol dehydrogenase/glycerol dehydrogenase	NP_418380.4	1109	f3f3f3	-1
NC_000913.3	256720	257382	-	fructose-6-phosphate aldolase 2	NP_418381.1	290	f3f3f3	-1
NC_000913.3	257394	259895	-	putative PTS multiphosphoryl transfer protein PtsA	YP_026278.1	38	f3f3f3	-1
NC_000913.3	260204	261283	+	putative PTS enzyme IIC component FrwC	NP_418384.1	42	f3f3f3	-1
NC_000913.3	261298	261618	+	putative PTS enzyme IIB component FrwB	NP_418385.1	42	f3f3f3	-1
NC_000913.3	261669	263931	+	putative formate acetyltransferase 2	NP_418386.1	422	f3f3f3	-1
NC_000913.3	263932	264810	+	putative pyruvate formate-lyase 2 activating enzyme PflC	NP_418387.3	418	f3f3f3	-1
NC_000913.3	264812	265139	+	putative PTS enzyme IIB component FrwD	NP_418388.1	42	f3f3f3	-1
NC_000913.3	265140	265991	-	putative DNA-binding transcriptional regulator YijO	NP_418389.1	5	f3f3f3	-1
NC_000913.3	266206	267939	-	phosphoethanolamine transferase EptC	NP_418390.1	421	f3f3f3	-1
NC_000913.3	268121	270772	-	phosphoenolpyruvate carboxylase	NP_418391.1	-1	f3f3f3	-1
NC_000913.3	271370	272521	-	acetylornithine deacetylase	NP_418392.1	1092	f3f3f3	-1
NC_000913.3	272675	273679	+	N-acetylglutamylphosphate reductase	NP_418393.1	1209	f3f3f3	-1
NC_000913.3	273687	274463	+	acetylglutamate kinase	NP_418394.3	272	f3f3f3	-1
NC_000913.3	274524	275897	+	argininosuccinate lyase	NP_418395.1	1244	f3f3f3	-1
NC_000913.3	276164	277063	+	DNA-binding transcriptional dual regulator OxyR	NP_418396.1	1	f3f3f3	-1
NC_000913.3	277064	278464	-	soluble pyridine nucleotide transhydrogenase	NP_418397.2	-1	f3f3f3	-1
NC_000913.3	278741	279445	+	DNA-binding transcriptional repressor FabR	NP_418398.3	-1	f3f3f3	-1
NC_000913.3	279445	279804	+	conserved inner membrane protein YijD	NP_418399.1	-1	f3f3f3	-1
NC_000913.3	279844	280944	-	tRNA m(5)U54 methyltransferase	NP_418400.1	-1	f3f3f3	-1
NC_000913.3	281313	283101	+	cobalamin/cobinamide outer membrane transporter	NP_418401.1	56	f3f3f3	-1
NC_000913.3	283102	283959	+	glutamate racemase	NP_418402.2	1136	f3f3f3	-1
NC_000913.3	289731	290755	+	UDP-N-acetylenolpyruvoylglucosamine reductase	NP_418403.1	344	f3f3f3	-1
NC_000913.3	290756	291721	+	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA	NP_418404.1	359	f3f3f3	-1
NC_000913.3	291750	292700	-	pantothenate kinase	NP_418405.1	1183	f3f3f3	-1
NC_000913.3	293618	294802	+	translation elongation factor Tu 2	NP_418407.1	102	f3f3f3	-1
NC_000913.3	295032	295415	+	Sec translocon subunit SecE	NP_418408.1	-1	f3f3f3	-1
NC_000913.3	295417	295962	+	transcription termination factor NusG	NP_418409.1	409	f3f3f3	-1
NC_000913.3	296121	296549	+	50S ribosomal subunit protein L11	NP_418410.1	201	f3f3f3	-1
NC_000913.3	296553	297257	+	50S ribosomal subunit protein L1	NP_418411.1	362	f3f3f3	-1
NC_000913.3	297670	298167	+	50S ribosomal subunit protein L10	NP_418412.1	232	f3f3f3	-1
NC_000913.3	298234	298599	+	50S ribosomal subunit protein L12	NP_418413.1	294	f3f3f3	-1
